"CountryName","CountryCode","IndicatorName","IndicatorCode","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"苏里南","SUR","农业机械，拖拉机","AG.AGR.TRAC.NO","","580","590","600","730","760","790","820","850","901","920","940","960","980","990","1010","1030","1050","1070","1090","1100","1120","1140","1160","1180","1202","1183","1164","1145","1126","1107","1088","1069","1050","1032","1013","994","975","956","937","918","899","880","861","988","869","758","885","1013","","","","","","","","",
"苏里南","SUR","化肥消费量（占化肥产量的百分比）","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"苏里南","SUR","化肥消费量（每公顷耕地千克数）","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1777777777778","109.054545454545","141.037735849057","106.367346938776","183.326530612245","149.434782608696","548.659574468085","158.293103448276","211.927272727273","206.293103448276","76.0384615384615","97.1666666666667","","","",
"苏里南","SUR","农业用地面积（平方公里）","AG.LND.AGRI.K2","","410","420","410","460","470","440","430","430","470","480","520","530","560","570","580","590","610","620","640","690","730","750","750","770","810","840","880","880","880","880","890","890","890","890","890","890","880","880","880","880","860","740","805","775","728","728","700","708","804","783","800","732","832","","","",
"苏里南","SUR","农业用地（占土地面积的百分比）","AG.LND.AGRI.ZS","","0.262820512820513","0.269230769230769","0.262820512820513","0.294871794871795","0.301282051282051","0.282051282051282","0.275641025641026","0.275641025641026","0.301282051282051","0.307692307692308","0.333333333333333","0.33974358974359","0.358974358974359","0.365384615384615","0.371794871794872","0.378205128205128","0.391025641025641","0.397435897435897","0.41025641025641","0.442307692307692","0.467948717948718","0.480769230769231","0.480769230769231","0.493589743589744","0.519230769230769","0.538461538461538","0.564102564102564","0.564102564102564","0.564102564102564","0.564102564102564","0.570512820512821","0.570512820512821","0.570512820512821","0.570512820512821","0.570512820512821","0.570512820512821","0.564102564102564","0.564102564102564","0.564102564102564","0.564102564102564","0.551282051282051","0.474358974358974","0.516025641025641","0.496794871794872","0.466666666666667","0.466666666666667","0.448717948717949","0.453846153846154","0.515384615384615","0.501923076923077","0.512820512820513","0.469230769230769","0.533333333333333","","","",
"苏里南","SUR","耕地（公顷数）","AG.LND.ARBL.HA","","28000","29000","29000","32000","32000","31000","30000","30000","30000","30000","33000","33000","35000","35000","35000","35000","36000","36000","37000","40000","43000","46000","48000","50000","52000","54000","57000","57000","57000","57000","57000","57000","57000","57000","57000","57000","57000","57000","57000","57000","57000","45000","55000","53000","49000","49000","46000","47000","58000","55000","58000","52000","60000","","","",
"苏里南","SUR","耕地（人均公顷数）","AG.LND.ARBL.HA.PC","","0.0938998625037728","0.0946691476512258","0.0922010619018854","0.0990727410641032","0.0964439314163093","0.0908725819831915","0.0855297857478867","0.0833947211141535","0.0817784077744006","0.0808041630304793","0.0885623116373561","0.0888726105386757","0.0950203886605383","0.0958630965423551","0.0965115220970024","0.0968541763520843","0.0997083530672782","0.0995952559459751","0.102171277720863","0.110260573299851","0.118356550484574","0.126376056682409","0.131419716242929","0.136013340188406","0.139984763196929","0.143246333291774","0.148469977807645","0.14546345422112","0.142452634499029","0.13961143932046","0.136996837055481","0.134569801592173","0.13228096476917","0.130053846855891","0.127851423188211","0.125646694720414","0.123491828957317","0.121507200900432","0.119839289205844","0.118564495965687","0.117717519258173","0.0925409905176332","0.112787891092012","0.108315348898045","0.0995936983611755","0.0987996846475372","0.0918249815850988","0.0927649277519111","0.113165873855171","0.106148712416118","0.110805652616637","0.0983851589771727","0.112475396007123","","","",
"苏里南","SUR","耕地（占土地面积的百分比）","AG.LND.ARBL.ZS","","0.179487179487179","0.185897435897436","0.185897435897436","0.205128205128205","0.205128205128205","0.198717948717949","0.192307692307692","0.192307692307692","0.192307692307692","0.192307692307692","0.211538461538462","0.211538461538462","0.224358974358974","0.224358974358974","0.224358974358974","0.224358974358974","0.230769230769231","0.230769230769231","0.237179487179487","0.256410256410256","0.275641025641026","0.294871794871795","0.307692307692308","0.32051282051282","0.333333333333333","0.346153846153846","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.365384615384615","0.288461538461538","0.352564102564103","0.33974358974359","0.314102564102564","0.314102564102564","0.294871794871795","0.301282051282051","0.371794871794872","0.352564102564103","0.371794871794872","0.333333333333333","0.384615384615385","","","",
"苏里南","SUR","谷物耕地（公顷）","AG.LND.CREL.HA","","26340","27730","27948","30913","33838","29624","34016","35576","32686","39261","40279","37549","45134","44473","47646","48494","49810","55340","59013","65139","71028","72706","73465","74992","75043","75313","71295","69661","69967","52132","60168","68835","58770","55169","60185","61830","53555","50185","48493","42016","50816","40081","52453","49044","45585","44252","42105","43666","54502","53568","56944","51390","58293","62247","","",
"苏里南","SUR","永久性作物用地（占土地的百分比）","AG.LND.CROP.ZS","","0.0448717948717949","0.0448717948717949","0.0384615384615385","0.0448717948717949","0.0384615384615385","0.0384615384615385","0.0384615384615385","0.0384615384615385","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0512820512820513","0.0576923076923077","0.0576923076923077","0.0576923076923077","0.0576923076923077","0.0576923076923077","0.0641025641025641","0.0641025641025641","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0705128205128205","0.0641025641025641","0.0641025641025641","0.0641025641025641","0.0641025641025641","0.0512820512820513","0.0448717948717949","0.0384615384615385","0.0384615384615385","0.0384615384615385","0.0384615384615385","0.0384615384615385","0.032051282051282","0.032051282051282","0.0384615384615385","0.032051282051282","0.032051282051282","0.0384615384615385","","","",
