"CountryName","CountryCode","IndicatorName","IndicatorCode","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Panama","PAN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","347","550","800","1000","1250","1450","1700","1900","2150","2400","2693","3000","3310","3610","3920","4230","4530","4840","5150","5458","5420","5380","5350","5310","5270","5240","5200","5160","5120","5090","5047","5340","5640","5945","6220","6500","6830","7135","7500","8066","","","","","","","","","","","","","","","","",
"Panama","PAN","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.4032846715328","51.1569343065693","42.1605839416058","34.4197080291971","38.3962962962963","34.0888888888889","35.8092592592593","47.5462962962963","63.7592504702139","67.4619469026549","67.8507992895204","82.6731793960924","","","",
"Panama","PAN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","16240","16340","16440","16480","16580","16680","16690","16790","16870","16840","17130","17430","17630","17850","18060","18270","18490","18500","18520","18550","18820","19140","19410","19660","19950","20200","20450","20700","21000","21240","21340","21500","21500","21350","21320","21320","21400","21490","21570","22300","22404","22378","22352","22326","22300","22244","22318","22292","22316","22663.9","22630","22570","22570","","","",
"Panama","PAN","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","21.8455743879473","21.9800914716169","22.1146085552865","22.1684153887544","22.302932472424","22.4374495560936","22.4509012644606","22.5854183481302","22.6930320150659","22.652676889965","23.0427764326069","23.4463276836158","23.7153618509551","24.0112994350282","24.2937853107345","24.5762711864407","24.8722087705139","24.8856604788808","24.9125638956147","24.9529190207156","25.3161151466236","25.7465698143664","26.1097659402744","26.4460586494485","26.8361581920904","27.1724509012645","27.5087436104385","27.8450363196126","28.2485875706215","28.5714285714286","28.7059456550982","28.9211729889696","28.9211729889696","28.7193973634652","28.6790422383643","28.6790422383643","28.7866559053","28.9077212806026","29.0153349475383","29.9973096583266","30.137207425343","30.1022329835889","30.0672585418348","30.0322841000807","29.9973096583266","29.9219800914716","30.0215227333871","29.986548291633","30.0188323917137","30.4868173258004","30.4412160344364","30.3605057842346","30.3605057842346","","","",
"Panama","PAN","Arable land (hectares)","AG.LND.ARBL.HA","","438000","438000","438000","438000","438000","438000","434000","434000","432000","432000","432000","432000","432000","433000","433000","433000","434000","434000","434000","435000","440000","450000","455000","460000","465000","470000","475000","480000","490000","499000","499000","500000","500000","500000","500000","500000","510000","520000","530000","548000","548000","548000","548000","548000","548000","540000","540000","540000","540000","568890","565000","563000","563000","","","",
"Panama","PAN","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.37530815112751","0.364279939985296","0.353561119255035","0.343186494436148","0.33317435287728","0.323532561927309","0.311378963983355","0.302510699399161","0.29258817266495","0.284342783123466","0.276371573904126","0.26868428663389","0.261302386743259","0.254838698286283","0.248108104081636","0.241702433603002","0.236140742058679","0.230298347795079","0.224708280500136","0.219855198817331","0.217170592930011","0.216990239296836","0.214428341111663","0.211943475596552","0.209527791946563","0.20717449690759","0.204878789394956","0.202636640419593","0.202511305503596","0.201941716140364","0.197788181145435","0.194149875938229","0.1902217643373","0.186378004413431","0.182606710796622","0.178900797718657","0.178775555702782","0.178609272637781","0.178439582882324","0.180932668284715","0.177525124826403","0.174259904195212","0.171115727627477","0.168066659899019","0.165095000423282","0.159829515183804","0.157049881950839","0.154343968109106","0.151710919899163","0.15712997023068","0.153450087575187","0.150383531427353","0.147936651581332","","","",
"Panama","PAN","Arable land (% of land area)","AG.LND.ARBL.ZS","","5.89184826472962","5.89184826472962","5.89184826472962","5.89184826472962","5.89184826472962","5.89184826472962","5.83804143126177","5.83804143126177","5.81113801452785","5.81113801452785","5.81113801452785","5.81113801452785","5.81113801452785","5.82458972289481","5.82458972289481","5.82458972289481","5.83804143126177","5.83804143126177","5.83804143126177","5.85149313962873","5.91875168146355","6.05326876513317","6.12052730696799","6.1877858488028","6.25504439063761","6.32230293247242","6.38956147430724","6.45682001614205","6.59133709981168","6.71240247511434","6.71240247511434","6.7258541834813","6.7258541834813","6.7258541834813","6.7258541834813","6.7258541834813","6.86037126715093","6.99488835082055","7.12940543449018","7.37153618509551","7.37153618509551","7.37153618509551","7.37153618509551","7.37153618509551","7.37153618509551","7.26392251815981","7.26392251815981","7.26392251815981","7.26392251815981","7.65254237288136","7.60021522733387","7.57331181059995","7.57331181059995","","","",
"Panama","PAN","Land under cereal production (hectares)","AG.LND.CREL.HA","","192200","182700","197400","219600","238500","239900","242300","228900","228200","158060","158700","170900","172900","187700","189690","205500","192760","167710","172310","158410","166876","176840","188950","173292","185582","179242","171261","171344","172244","184619","178813","183640","173215","176451","180080","175320","128880","131730","130130","148302","186832","187116","205720","201283","178573","151278","151474","159349","158149","171143","153986","166440","165780","152300","","",
"Panama","PAN","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.69491525423729","1.69491525423729","1.69491525423729","1.61420500403551","1.61420500403551","1.61420500403551","1.5469464622007","1.5469464622007","1.5469464622007","1.49313962873285","1.49313962873285","1.49313962873285","1.49313962873285","1.50659133709981","1.52004304546677","1.53349475383374","1.5469464622007","1.56039817056766","1.58730158730159","1.61420500403551","1.64110842076944","1.66801183750336","1.69491525423729","1.69491525423729","1.74872208770514","1.81598062953995","1.88323917137476","1.95049771320958","2.01775625504439","2.0850147968792","2.0850147968792","2.15227333871402","2.15227333871402","2.21953188054883","2.0850147968792","2.0850147968792","2.05811138014528","2.04465967177832","2.01775625504439","1.9774011299435","2.15227333871402","2.15227333871402","2.15227333871402","2.15227333871402","2.15227333871402","2.21953188054883","2.35404896421846","2.35404896421846","2.42130750605327","2.53564702717245","2.54237288135593","2.48856604788808","2.48856604788808","","","",
