"CountryName","CountryCode","IndicatorName","IndicatorCode","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cuba","CUB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","11000","15000","18000","20000","22000","24000","25000","26800","40000","51600","53701","47816","53496","52687","54851","49033","64423","66349","70374","68300","65943","66509","66262","65900","68585","73739","74403","74919","76783","76702","76620","76539","76457","76376","76295","76213","76132","76050","75968","75887","75806","75725","75643","75562","75480","75399","72602","","","","","","","","","",
"Cuba","CUB","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","754.90063116165","333.125302630871","250.77782646801","358.770627783114","436.98101905582","584.114118239685","598.169085716521","294.128200155159","692.395619438741","662.915146861202","488.068959226489","514.980198019802","","","",
"Cuba","CUB","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1047919957873","16.5026652452026","18.5302212628171","22.380174291939","32.1194276279582","35.699132381752","43.5780653252009","17.6022865765191","29.8959718651181","41.5876313491705","51.2045041309133","49.4357495881384","","","",
"Cuba","CUB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35500","38050","40380","47550","45480","45100","46210","47270","47450","50220","50730","55810","58510","56310","58100","59970","60380","59480","58620","59370","59380","60830","61790","61420","62220","64510","67260","67880","67720","67410","67550","67750","67300","66860","66840","66150","66870","66740","66600","65540","66560","66540","66380","65280","66370","66300","66200","65670","65140","64609","64079","64056","63423","","","",
"Cuba","CUB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","33.0540037243948","35.4283054003724","37.5977653631285","44.2737430167598","42.3463687150838","41.9925512104283","43.0260707635009","44.0130353817505","44.1806331471136","46.7597765363128","47.2346368715084","51.9646182495345","54.4785847299814","52.4301675977654","54.096834264432","55.8379888268156","56.219739292365","55.3817504655494","54.5810055865922","55.2793296089385","55.2886405959032","56.6387337057728","57.5325884543762","57.1880819366853","57.9329608938547","60.0651769087523","62.6256983240224","63.2029795158287","63.0540037243948","62.7653631284916","62.8957169459963","63.0819366852886","62.6629422718808","62.2532588454376","62.2346368715084","61.5921787709497","62.2625698324022","62.1415270018622","62.0111731843575","61.024208566108","61.9739292364991","62.5434721308394","62.3872180451128","61.3476177051029","62.3543780533634","62.294465846096","62.1946636602781","61.6967305524239","61.1987974445697","60.6999248402856","60.2019917324314","60.1752952117916","59.5806442521771","","","",
"Cuba","CUB","Arable land (hectares)","AG.LND.ARBL.HA","","1450000","1505000","1592000","1762000","1620000","1551000","1693000","1947000","1943000","2310000","2277000","2610000","2784000","2636000","2870000","3027000","3031000","3036000","2979000","2980000","3000000","3050000","3100000","3107000","3168000","3250000","3330000","3380000","3401000","3391000","3435000","3575000","3630000","3686000","3684000","3485000","3628000","3574000","3610000","3504000","3739000","3798000","3752000","3706000","3672000","3634000","3573000","3508600","3446200","3383700","3321300","3134900","3156400","","","",
"Cuba","CUB","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.19890729932174","0.202002468590965","0.208968886869206","0.226270230606863","0.203724178589142","0.19123528376061","0.204875702891265","0.23141850271159","0.226901396920844","0.265056500063166","0.256709133219413","0.289187095075742","0.303398488085997","0.282973163387695","0.304075512438754","0.317153709430624","0.314592798492363","0.312622504310144","0.304685747692586","0.302994038643128","0.303514116795672","0.307285652137731","0.311034719200364","0.310170817568147","0.314192516307167","0.319630275300998","0.32426823468373","0.325655067693861","0.324333809200933","0.320447337300921","0.322094350296313","0.332998782109349","0.33618718902685","0.339615983326937","0.337794222068342","0.318108778049709","0.329805259448471","0.32367638411276","0.325797395895097","0.315198986901521","0.335292058304052","0.339575878847051","0.334556801850977","0.329695356508681","0.326079659342662","0.322300298203163","0.31664182775624","0.310764014827321","0.305042504312038","0.299227113795","0.29330855904984","0.276382084544582","0.277790856857709","","","",
"Cuba","CUB","Arable land (% of land area)","AG.LND.ARBL.ZS","","13.5009310986965","14.0130353817505","14.8230912476723","16.4059590316574","15.0837988826816","14.4413407821229","15.7635009310987","18.1284916201117","18.0912476722533","21.5083798882682","21.2011173184358","24.3016759776536","25.9217877094972","24.5437616387337","26.7225325884544","28.1843575418994","28.2216014897579","28.268156424581","27.7374301675978","27.7467411545624","27.9329608938547","28.3985102420857","28.8640595903166","28.9292364990689","29.4972067039106","30.2607076350093","31.0055865921788","31.4711359404097","31.6666666666667","31.5735567970205","31.9832402234637","33.2867783985102","33.7988826815642","34.3202979515829","34.3016759776536","32.4487895716946","33.780260707635","33.2774674115456","33.6126629422719","32.6256983240223","34.8137802607076","35.6988438763042","35.2631578947368","34.8275538013345","34.4983089064262","34.1445081274077","33.5682074408117","32.9631717399474","32.3769259676813","31.7897406989853","31.2034949267193","29.449783464382","29.6517581189114","","","",
"Cuba","CUB","Land under cereal production (hectares)","AG.LND.CREL.HA","","275000","294072","263000","178969","145000","140000","146367","173900","222300","303300","274100","297657","331460","295086","261503","240040","228760","228733","224478","225354","222400","228700","227100","238600","237200","248600","231295","229477","245421","230425","221997","252260","191644","271301","254028","356902","373367","330254","289690","326773","312470","320561","337417","304417","285839","267397","277892","285011","419902","402165","351512","358162","380299","361652","","",
"Cuba","CUB","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.86219739292365","1.86219739292365","1.96461824953445","1.98324022346369","1.84357541899441","1.79702048417132","2.13221601489758","2.08566108007449","3.55679702048417","2.81191806331471","3.68715083798883","3.67783985102421","3.67783985102421","3.67783985102421","2.79329608938547","2.79329608938547","2.79329608938547","2.79329608938547","3.25884543761639","3.25884543761639","3.25884543761639","3.25884543761639","3.25884543761639","3.7243947858473","3.7243947858473","3.7243947858473","3.7243947858473","3.7243947858473","3.7243947858473","4.18994413407821","4.18994413407821","4.65549348230913","4.65549348230913","4.65549348230913","4.65549348230913","5.12104283054004","5.17690875232775","5.12104283054004","5.12104283054004","5.12104283054004","4.76722532588454","4.12632766237428","4.04135338345865","4.02217836669486","3.99285982713266","4.01202668420558","3.92709507703871","3.94588500563698","3.94588500563698","3.94588500563698","3.94588500563698","3.94555139080687","3.95024847579592","","","",
